State,Dates,cases,deaths,population,new_cases,new_deaths
NJ,2022-06-25,2467695,33994,8882190,0.0,0.0
NJ,2022-06-26,2467695,33994,8882190,0.0,0.0
NJ,2022-06-27,2475025,34007,8882190,7330.0,13.0
NJ,2022-06-28,2478646,34023,8882190,3621.0,16.0
NJ,2022-06-29,2481788,34036,8882190,3142.0,13.0
NJ,2022-06-30,2485702,34049,8882190,3914.0,13.0
NJ,2022-07-01,2489319,34057,8882190,3617.0,8.0
NJ,2022-07-02,2489319,34057,8882190,0.0,0.0
NJ,2022-07-03,2489319,34057,8882190,0.0,0.0
NJ,2022-07-04,2489319,34057,8882190,0.0,0.0
NJ,2022-07-05,2499558,34066,8882190,10239.0,9.0
NJ,2022-07-06,2499558,34066,8882190,0.0,0.0
NJ,2022-07-07,2502627,34083,8882190,3069.0,17.0
NJ,2022-07-08,2511051,34099,8882190,8424.0,16.0
NJ,2022-07-09,2511051,34099,8882190,0.0,0.0
NJ,2022-07-10,2511051,34099,8882190,0.0,0.0
NJ,2022-07-11,2519596,34112,8882190,8545.0,13.0
NJ,2022-07-12,2524027,34126,8882190,4431.0,14.0
NJ,2022-07-13,2527735,34133,8882190,3708.0,7.0
NJ,2022-07-14,2532010,34145,8882190,4275.0,12.0
NJ,2022-07-15,2535975,34152,8882190,3965.0,7.0
NJ,2022-07-16,2535975,34152,8882190,0.0,0.0
NJ,2022-07-17,2535975,34152,8882190,0.0,0.0
NJ,2022-07-18,2542489,34163,8882190,6514.0,11.0
NJ,2022-07-19,2549274,34174,8882190,6785.0,11.0
NJ,2022-07-20,2553228,34189,8882190,3954.0,15.0
NJ,2022-07-21,2553228,34189,8882190,0.0,0.0
NJ,2022-07-22,2553228,34189,8882190,0.0,0.0
NJ,2022-07-23,2553228,34189,8882190,0.0,0.0
NJ,2022-07-24,2553228,34189,8882190,0.0,0.0
NJ,2022-07-25,2553228,34189,8882190,0.0,0.0
NJ,2022-07-26,2574636,34240,8882190,21408.0,51.0
NJ,2022-07-27,2574636,34240,8882190,0.0,0.0
NJ,2022-07-28,2574636,34240,8882190,0.0,0.0
NJ,2022-07-29,2574636,34240,8882190,0.0,0.0
NJ,2022-07-30,2574636,34240,8882190,0.0,0.0
NJ,2022-07-31,2574636,34240,8882190,0.0,0.0
NJ,2022-08-01,2596057,34270,8882190,21421.0,30.0
NJ,2022-08-02,2599621,34290,8882190,3564.0,20.0
NJ,2022-08-03,2603056,34307,8882190,3435.0,17.0
NJ,2022-08-04,2606746,34320,8882190,3690.0,13.0
NJ,2022-08-05,2606746,34320,8882190,0.0,0.0
NJ,2022-08-06,2606746,34320,8882190,0.0,0.0
NJ,2022-08-07,2606746,34320,8882190,0.0,0.0
NJ,2022-08-08,2618139,34343,8882190,11393.0,23.0
NJ,2022-08-09,2621597,34346,8882190,3458.0,3.0
NJ,2022-08-10,2621597,34346,8882190,0.0,0.0
NJ,2022-08-11,2628161,34385,8882190,6564.0,39.0
NJ,2022-08-12,2628161,34385,8882190,0.0,0.0
NJ,2022-08-13,2628161,34385,8882190,0.0,0.0
NJ,2022-08-14,2628161,34385,8882190,0.0,0.0
NJ,2022-08-15,2637339,34404,8882190,9178.0,19.0
NJ,2022-08-16,2640254,34414,8882190,2915.0,10.0
NJ,2022-08-17,2642683,34425,8882190,2429.0,11.0
NJ,2022-08-18,2642683,34425,8882190,0.0,0.0
NJ,2022-08-19,2645875,34440,8882190,3192.0,15.0
NJ,2022-08-20,2645875,34440,8882190,0.0,0.0
NJ,2022-08-21,2645875,34440,8882190,0.0,0.0
NJ,2022-08-22,2653790,34467,8882190,7915.0,27.0
NJ,2022-08-23,2653790,34467,8882190,0.0,0.0
NJ,2022-08-24,2658997,34497,8882190,5207.0,30.0
NJ,2022-08-25,2658997,34497,8882190,0.0,0.0
NJ,2022-08-26,2664134,34520,8882190,5137.0,23.0
NJ,2022-08-27,2664134,34520,8882190,0.0,0.0
NJ,2022-08-28,2664134,34520,8882190,0.0,0.0
NJ,2022-08-29,2670174,34532,8882190,6040.0,12.0
NJ,2022-08-30,2671815,34545,8882190,1641.0,13.0
NJ,2022-08-31,2671815,34545,8882190,0.0,0.0
NJ,2022-09-01,2676470,34567,8882190,4655.0,22.0
NJ,2022-09-02,2678592,34577,8882190,2122.0,10.0
NJ,2022-09-03,2678592,34577,8882190,0.0,0.0
NJ,2022-09-04,2678592,34577,8882190,0.0,0.0
NJ,2022-09-05,2682908,34583,8882190,4316.0,6.0
NJ,2022-09-06,2682908,34583,8882190,0.0,0.0
NJ,2022-09-07,2682908,34583,8882190,0.0,0.0
NJ,2022-09-08,2682908,34583,8882190,0.0,0.0
NJ,2022-09-09,2682908,34583,8882190,0.0,0.0
NJ,2022-09-10,2682908,34583,8882190,0.0,0.0
NJ,2022-09-11,2682908,34583,8882190,0.0,0.0
NJ,2022-09-12,2682908,34632,8882190,0.0,49.0
NJ,2022-09-13,2682908,34632,8882190,0.0,0.0
NJ,2022-09-14,2682908,34632,8882190,0.0,0.0
NJ,2022-09-15,2698373,34642,8882190,15465.0,10.0
NJ,2022-09-16,2698373,34642,8882190,0.0,0.0
NJ,2022-09-17,2698373,34642,8882190,0.0,0.0
